file,sample_rate,duration,valid_sr,valid_duration,not_silent,passes_all
ml_data/processed/bike/bike_0198.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0199.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0200.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0201.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0202.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0203.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0204.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0205.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0206.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0207.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0208.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0209.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0210.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0211.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0212.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0213.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0214.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0215.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0216.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0217.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0218.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0219.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0220.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0221.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0222.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0223.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0224.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0225.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0226.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0227.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0228.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0229.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0230.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0231.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0232.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0233.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0234.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0235.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0236.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0237.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0238.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0239.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0240.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0241.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0242.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0243.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0244.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0245.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0246.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0247.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0248.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0249.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0250.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0251.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0252.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0253.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0254.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0255.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0256.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0257.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0258.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0259.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0260.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0261.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0262.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0263.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0264.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0265.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0266.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0267.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0268.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0269.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0270.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0271.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0272.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0273.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0274.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0275.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0276.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0277.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0278.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0279.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0280.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0281.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0282.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0283.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0284.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0285.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0286.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0287.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0288.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0289.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0290.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0291.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0292.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0293.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0294.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0295.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0296.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0297.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0298.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0299.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0300.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0301.wav,48000,10.0,True,True,True,True
